Date,Open,High,Low,Close,Adj Close,Volume,MA_20,Volatility,RSI,MACD,MACD_Signal,BB_Mid,BB_Upper,BB_Lower
2024-01-02,250.0800018310547,251.25,244.41000366210935,248.4199981689453,248.4199981689453,104654200,,,,0.0,0.0,,,
2024-01-03,244.97999572753903,245.67999267578125,236.32000732421875,238.4499969482422,238.4499969482422,121082600,,,,-0.7953277327056583,-0.15906554654113167,,,
2024-01-04,239.25,242.6999969482422,237.72999572753903,237.92999267578125,237.92999267578125,102629300,,,,-1.4508660096063295,-0.41742563915417125,,,
2024-01-05,236.86000061035156,240.1199951171875,234.8999938964844,237.4900054931641,237.4900054931641,92379400,,,,-1.9830289817503228,-0.7305463076734016,,,
2024-01-08,236.13999938964844,241.25,235.3000030517578,240.4499969482422,240.4499969482422,85166600,,,,-2.1412424879338516,-1.0126855437254916,,,
2024-01-09,238.11000061035156,238.9600067138672,232.0399932861328,234.9600067138672,234.9600067138672,96705700,,,,-2.678745253777805,-1.3458974857359542,,,
2024-01-10,235.1000061035156,235.5,231.2899932861328,233.94000244140625,233.94000244140625,91628500,,,,-3.1507065051193592,-1.7068592896126353,,,
2024-01-11,230.57000732421875,230.92999267578125,225.3699951171875,227.22000122070312,227.22000122070312,105873600,,,,-4.020639702492986,-2.1696153721887055,,,
2024-01-12,220.0800018310547,225.33999633789065,217.1499938964844,218.88999938964844,218.88999938964844,122889000,,,,-5.320893610576462,-2.799871019866257,,,
2024-01-16,215.1000061035156,223.4900054931641,212.17999267578125,219.91000366210935,219.91000366210935,115355000,,,,-6.197606233515899,-3.4794180625961855,,,
2024-01-17,214.86000061035156,215.6699981689453,212.0099945068359,215.5500030517578,215.5500030517578,103164400,,,,-7.161667667886604,-4.215867983654269,,,
2024-01-18,216.8800048828125,217.4499969482422,208.7400054931641,211.8800048828125,211.8800048828125,108595400,,,,-8.128135395837802,-4.998321466090976,,,
2024-01-19,209.9900054931641,213.19000244140625,207.55999755859375,212.19000244140625,212.19000244140625,102095800,,,,-8.767981982625855,-5.752253569397952,,,
2024-01-22,212.2599945068359,217.8000030517578,206.27000427246097,208.8000030517578,208.8000030517578,117952500,,,8.900404389720919,-9.439793567658256,-6.489761569050014,,,
2024-01-23,211.3000030517578,215.6499938964844,207.75,209.13999938964844,209.13999938964844,106605900,,,9.53850786956518,-9.831443465528167,-7.158097948345645,,,
2024-01-24,211.8800048828125,212.72999572753903,206.77000427246097,207.8300018310547,207.8300018310547,123369900,,,11.60981093322772,-10.13075366408296,-7.752629091493109,,,
2024-01-25,189.6999969482422,193.0,180.05999755859375,182.6300048828125,182.6300048828125,198076800,,,7.171610885553761,-12.260061939003265,-8.65411566099514,,,
2024-01-26,185.5,186.77999877929688,182.1000061035156,183.25,183.25,107343200,,,8.109340084222623,-13.739149302438648,-9.671122389283843,,,
2024-01-29,185.6300048828125,191.47999572753903,183.6699981689453,190.92999267578125,190.92999267578125,125013100,,,14.353569505609329,-14.128757942931799,-10.562649500013435,,,
2024-01-30,195.3300018310547,196.36000061035156,190.61000061035156,191.58999633789065,191.58999633789065,109982300,217.57250061035157,19.847867357584406,16.447456801187855,-14.220345526478326,-11.294188705306414,217.57250061035157,257.2682353255204,177.87676589518276
2024-01-31,187.0,193.97000122070312,185.8500061035156,187.2899932861328,187.2899932861328,103221400,214.51600036621093,19.55213974507287,15.653057634013251,-14.473067147044134,-11.92996439365396,214.51600036621093,253.62027985635666,175.4117208760652
2024-02-01,188.5,189.8800048828125,184.27999877929688,188.86000061035156,188.86000061035156,91843300,212.0365005493164,19.501515390308942,19.439130044718766,-14.38089042906492,-12.420149600736153,212.0365005493164,251.03953132993428,173.03346976869852
2024-02-02,185.0399932861328,188.69000244140625,182.0,187.91000366210935,187.91000366210935,110505100,209.5355010986328,19.21127396574236,22.029612195791955,-14.220570643851914,-12.780233809359306,209.5355010986328,247.95804903011754,171.11295316714808
2024-02-05,184.2599945068359,184.67999267578125,175.00999450683594,181.05999755859375,181.05999755859375,134294400,206.7140007019043,19.032618256823586,18.264979964890614,-14.479345422739243,-13.120056132035295,206.7140007019043,244.77923721555146,168.64876418825713
2024-02-06,177.2100067138672,186.4900054931641,177.11000061035156,185.1000061035156,185.1000061035156,122676000,203.94650115966797,17.85679413958997,24.99589649082931,-14.194802526002064,-13.33500541082865,203.94650115966797,239.6600894388479,168.23291288048804
2024-02-07,188.17999267578125,189.7899932861328,182.67999267578125,187.5800018310547,187.5800018310547,111535200,201.57750091552734,16.626260731474712,29.648237609773204,-13.61227150868632,-13.390458630400184,201.57750091552734,234.83002237847677,168.3249794525779
2024-02-08,189.0,191.6199951171875,185.5800018310547,189.55999755859375,189.55999755859375,83034000,199.3585006713867,14.95753288930831,31.562647316819934,-12.842798585131703,-13.28092662134649,199.3585006713867,229.27356645000333,169.44343489277009
2024-02-09,190.17999267578125,194.1199951171875,189.47999572753903,193.57000732421875,193.57000732421875,84476300,197.6760009765625,13.477965156563068,37.71576514118995,-11.773691685543241,-12.979479634185841,197.6760009765625,224.63193128968865,170.72007066343636
2024-02-12,192.11000061035156,194.72999572753903,187.27999877929688,188.1300048828125,188.1300048828125,95498600,196.13800125122071,12.66000498901848,34.34193555283592,-11.235859503863423,-12.630755608121358,196.13800125122071,221.45801122925766,170.81799127318376
2024-02-13,183.9900054931641,187.2599945068359,182.11000061035156,184.02000427246097,184.02000427246097,86759500,194.34350128173827,11.613449438750724,32.966094886112586,-11.014300327545556,-12.307464552006198,194.34350128173827,217.5704001592397,171.11660240423683
2024-02-14,185.3000030517578,188.88999938964844,183.3500061035156,188.7100067138672,188.7100067138672,81203000,193.00150146484376,10.534587702109915,56.15633794155991,-10.341063737354773,-11.914184389075913,193.00150146484376,214.0706768690636,171.93232606062392
2024-02-15,189.16000366210935,200.8800048828125,188.86000061035156,200.4499969482422,200.4499969482422,120831800,192.43000106811525,9.736321478199681,64.21486992579187,-8.759228854692708,-11.283193282199273,192.43000106811525,211.90264402451461,172.95735811171588
